sarahpalinusa,conservative
johnboehner,conservative
redstate,conservative
glennbeck,conservative
realdonaldtrump,conservative
anncoulter,conservative
tedcruz,conservative
ingrahamangle,conservative
benshapiro,conservative
charliekirk11,conservative
presssec,conservative
seanhannity,conservative
tomilahren,conservative
kevinolearytv,conservative
stefanmolyneaux,conservative
marksteynonline,conservative
ezralevant,conservative
nntaleb,conservative
lauren_southern,conservative
realjameswoods,conservative
randpaul,conservative
jihadwatchrs,conservative
scrowder,conservative
nigel_farage,conservative
michellemalkin,conservative
prisonplanet,conservative
scottadamssays,conservative
andrewklavan,conservative
gavin_mcInnes,conservative
cernovich,conservative
tuckercarlson,conservative
sheriffclarke,conservative
mitchellvii,conservative
breitbartnews,conservative
jamesokeefelll,conservative
danaperino,conservative
dloesch,conservative
jackposobiec,conservative
bucksexton,conservative
katiepavlich,conservative
marklevinshow,conservative
guypbenson,conservative
dbongino,conservative
allenwest,conservative
greggutfeld,conservative
jimdemint,conservative
jasoninthehouse,conservative
brentbozell,conservative
karlrove,conservative
larryelder,conservative
billoreilly,conservative
nickgillespie,conservative
trobinsonnewera,conservative
michelleobama,progressive
emmawatson,progressive
